Date,Actual_Return,Prediction
2023-06-05,0.0032186023111129,1
2023-06-06,0.0002769559585788,1
2023-06-07,0.0068264979901573,1
2023-06-08,-0.004916887367083,1
2023-06-09,-0.0038255051772626,1
2023-06-12,0.0020503013499982,1
2023-06-13,0.006144585747086,1
2023-06-14,0.0021215820368078,1
2023-06-15,-0.0036214536561356,1
2023-06-16,0.0073519563684706,1
2023-06-19,-0.0037545579318734,1
2023-06-20,0.0032603966930515,1
2023-06-21,0.0021314905059401,1
2023-06-22,-0.0045497783797934,1
2023-06-23,-0.0056495438985202,0
2023-06-26,0.0013758829522746,1
2023-06-27,0.0067292114028286,1
2023-06-28,0.008187463868637,1
2023-06-30,0.0113703862194518,1
2023-07-03,0.0069330035274252,1
2023-07-04,0.0034330468644171,1
2023-07-05,0.000489848543472,1
2023-07-06,0.0050802910218655,1
2023-07-07,-0.0085245857132682,0
2023-07-10,0.0012458539412885,1
2023-07-11,0.0043046517107255,1
2023-07-12,-0.0028384540734558,1
2023-07-13,0.0015180775225879,1
2023-07-14,0.0077351215942267,1
2023-07-17,0.0074829460454974,1
2023-07-18,0.001915870400722,1
2023-07-19,0.0042392838963021,1
2023-07-20,0.0073344494857055,1
2023-07-21,-0.0117889545859248,0
2023-07-24,-0.0036862180542648,1
2023-07-25,0.0004192824316674,1
2023-07-26,0.0049520574860006,1
2023-07-27,-0.0060043684967971,1
2023-07-28,-0.000704708042179,1
2023-07-31,0.0054695773892536,1
2023-08-01,-0.001025644971054,1
2023-08-02,-0.0105451544933879,0
2023-08-03,-0.0074483556761193,0
2023-08-04,0.0069591183373327,1
2023-08-07,0.0041059608614452,1
2023-08-08,-0.0013506471779916,1
2023-08-09,0.0031477485221408,1
2023-08-10,-0.004566679886024,0
2023-08-11,-0.0058914567617632,0
2023-08-14,0.0003216439248586,0
2023-08-16,0.0015655309306883,1
2023-08-18,-0.0028493381372506,0
2023-08-21,0.0043122099570484,1
2023-08-22,0.0001469247637584,0
2023-08-23,0.0024485198272942,1
